94866 YMML Melbourne Airport Observations at 12Z 02 Feb 2023,,,,,
,,,,,
PRES,HGHT,TEMP,DWPT,RELH,MIXR
hPa,m,C,C,%,g/kg
980,116,11,7.5,79,6.68
975,159,12,7,71,6.48
928,567,8.8,3.8,71,5.45
925,594,8.6,3.6,71,5.38
899,829,7.2,0.9,64,4.56
885,958,6.4,-0.6,61,4.16
850,1288,3.6,-1.2,71,4.14
845,1335,3.2,-1.3,72,4.13
791,1867,-1.3,-2.7,90,3.98
765,2133,-2.9,-3.9,93,3.76
756,2226,-2.7,-7.6,69,2.87
713,2688,-5.9,-6.4,96,3.34
700,2832,-6.3,-13.3,58,1.97
693,2911,-7.1,-10.2,79,2.55
689,2956,-7.1,-14.1,57,1.87
688,2967,-7.1,-15.1,53,1.73
675,3116,-8.1,-17.1,48,1.49
661,3278,-9.3,-12.4,78,2.24
659,3302,-9.3,-13.5,72,2.06
610,3895,-12.9,-34.9,14,0.33
582,4251,-15.8,-26,41,0.79
570,4409,-17.1,-22.1,65,1.15
562,4515,-18.1,-25.1,54,0.89
554,4622,-18.1,-48.1,5,0.09
542,4784,-19.2,-48.2,6,0.09
500,5380,-23.5,-48.5,8,0.09
480,5676,-24.9,-49.9,8,0.08
400,6970,-34.7,-55.7,10,0.05
392,7110,-35.7,-56.2,10,0.05
371,7493,-38.5,-57.5,12,0.04
349,7917,-36.9,-63.9,4,0.02
326,8390,-35.1,-71.1,1,0.01
300,8970,-35.7,-73.7,1,0.01